;Model;co2
928;Forte;326.0
929;Forte FE;256.0
930;Forte;290.0
931;RX-7;493.72
932;G80 AWD;453.0
933;Optima;330.0
934;Optima FE;311.0
935;Transit Connect Van FFV;353.0
936;Transit Connect Wagon LWB FFV;344.0
937;NX 300 AWD;362.0
938;NX 300 AWD F Sport;374.0
939;S60 AWD;352.0
940;Malibu;298.0
941;V60 CC AWD;354.0
942;V90 CC AWD;373.0
943;Equinox FWD;315.0
944;240 DL/GL/turbo;403.95
945;XC60 FWD;362.0
946;Terrain AWD;386.0
947;XC60 AWD;386.0
948;Model X Performance (22in Wheels);0.0
949;Traverse FWD;420.0
950;Enclave AWD;443.0
951;XC90 AWD;387.0
952;Fiero;467.74
953;K900;431.0
954;XT4 FWD;336.0
955;BRZ;372.0
956;Ruf;683.62
957;LC 500h;298.0
958;WRX;485.0
959;Elantra GT;327.0
960;Outback AWD;308.0
961;Outback AWD;343.0
962;Yukon C1500 2WD;505.0
963;Yukon C1500 XL 2WD;505.0
964;Tahoe K1500 4WD;525.0
965;Tahoe K1500 4WD;527.0
966;Yukon K1500 XL 4WD;543.0
967;CX-5 2WD;348.0
968;CX-5 4WD;365.0
969;AMG GT C Coupe;506.0
970;Stinger AWD;368.0
971;Stinger AWD;449.0
972;5000S;522.76
973;MR2;386.39
974;Sorento AWD;436.0
975;124 Spider;302.0
976;Colorado 2WD;440.0
977;Canyon 2WD;440.0
978;Turbo Sprint;261.38
979;Canyon 2WD;406.0
980;EcoSport FWD;318.0
981;Range Rover Sport;412.0
982;Range Rover LWB;491.0
983;Turbo Firefly;261.38
984;MDX AWD;404.0
985;X3 M Competition;546.0
986;911 Carrera;467.74
987;Cherokee 4WD Active Drive II;416.0
988;Cherokee Trailhawk 4WD;432.0
989;Macan;426.0
990;911 Speedster;564.0
991;Cooper S Convertible;304.0
992;John Cooper Works Convertible;313.0
993;840i xDrive Convertible;388.0
994;John Cooper Works Hardtop;305.0
995;AMG CLS53 4matic Plus;379.0
996;CLS450 4matic;343.0
997;Prius c;193.0
998;840i xDrive Gran Coupe;388.0
999;Ghibli SQ4;474.0
1000;3 5-Door 2WD;303.0
1001;3 5-Door 4WD;328.0
1002;AMG E53 4matic Plus;370.0
1003;Cooper S Countryman All4;341.0
1004;Civic 5Dr;274.0
1005;944 S;467.74
1006;Pilot FWD;388.0
1007;X3 xDrive30i;345.0
1008;X3 M40i;379.0
1009;Pilot AWD;407.0
1010;Wrangler 4WD;446.0
1011;Wrangler Unlimited 4WD;459.0
1012;X5 xDrive50i;487.0
1013;Durango AWD;427.0
1014;SL550;435.0
1015;SL450;395.0
1016;Fusion FWD;327.0
1017;MKZ AWD;384.0
1018;Cabriolet;444.35
1019;Cooper S Countryman;321.0
1020;Silverado 2WD;383.0
1021;Silverado 4WD;494.0
1022;Sierra 4WD;427.0
1023;Sierra Cab Chassis 2WD;582.0
1024;Milano;493.72
1025;Compass FWD;350.0
1026;Acadia AWD;433.0
1027;3 4-Door 2WD;299.0
1028;Cooper S Clubman All4;333.0
1029;Voyager;401.0
1030;GLC300 4matic Coupe;374.0
1031;XC90 AWD;429.0
1032;Evora;451.0
1033;C300 4matic Convertible;374.0
1034;80/90;403.95
1035;Panamera;401.0
1036;Panamera 4 Executive;407.0
1037;Panamera 4 ST;403.0
1038;Promaster City;374.0
1039;Explorer HEV RWD;322.0
1040;4Runner 4WD;515.0
1041;XC60 AWD PHEV;196.0
1042;Mustang;472.0
1043;Mustang Convertible;484.0
1044;Sierra 4WD;549.0
1045;Grand Cherokee SRT 4WD;592.0
1046;RX 450h AWD;297.0
1047;Continental GT Convertible;469.0
1048;911 Carrera 4S;445.0
1049;M8 Coupe;518.0
1050;M8 Convertible;518.0
1051;M5 Competition;518.0
1052;Camry Hybrid XLE/SE;195.0
1053;Camry TRD;354.0
1054;X1 sDrive28i;327.0
1055;Phantom;615.0
1056;Impreza Sport 5-Door;292.0
1057;Tacoma 2WD;431.0
1058;Renegade 2WD;328.0
1059;Outlander Sport 2WD;354.0
1060;GLA250 4matic;349.0
1061;Crosstrek AWD;298.0
1062;Armada 4WD;593.0
1063;A8 L;495.0
1064;Accord 2.0T Sport/Touring;345.0
1065;Q50 Red Sport  AWD;405.0
1066;Accord;298.0
1067;Accord;330.0
1068;Edge FWD;369.0
1069;Corsair FWD;361.0
1070;Camaro;493.72
1071;Edge AWD;384.0
1072;Pathfinder 4WD Platinum;414.0
1073;Corolla Hatchback;280.0
1074;Corolla Hatchback XSE;266.0
1075;Venue;297.0
1076;Murano FWD;386.0
1077;Atlas Cross Sport;401.0
1078;Tiguan;356.0
1079;Tiguan 4motion;388.0
1080;Outlander PHEV;174.0
1081;Panamera Turbo S e-Hybrid;289.0
1082;A3;293.0
1083;AMG GT 63 4matic Plus;519.0
1084;GTI;326.0
1085;Jetta;315.0
1086;GS 350;388.0
1087;LS 500h AWD;345.0
1088;Stelvio AWD;463.0
1089;Civic 2Dr;269.0
1090;Civic 2Dr;304.0
1091;Civic 4Dr;268.0
1092;Stelvio;359.0
1093;Stelvio AWD;364.0
1094;Spectrum;269.3
1095;Q60 AWD;409.0
1096;F150 Pickup 2WD FFV;467.0
1097;Spectrum Turbo;329.15
1098;F150 Pickup 4WD;444.0
1099;RAV4 AWD;315.0
1100;RAV4 AWD LE;296.0
1101;Bolt EV;0.0
1102;AMG S63 4matic Plus Convertible;493.0
1103;S560 4matic Coupe;439.0
1104;HR-V FWD;292.0
1105;Chiron;840.0
1106;S5 Cabriolet;405.0
1107;A4;295.0
1108;S5 Sportback;393.0
1109;S6;410.0
1110;Sonata;291.0
1111;Continental  AWD;466.0
1112;Passport FWD;407.0
1113;Discovery Sport MHEV;422.0
1114;Corsair AWD;369.0
1115;Expedition 2WD;467.0
1116;Expedition MAX 2WD;467.0
1117;Expedition 4WD;473.0
1118;Ioniq Electric;0.0
1119;Model 3 Long Range AWD;0.0
1120;Model 3 Long Range Performance AWD (18in);0.0
1121;Crosstrek Hybrid AWD;151.0
1122;Century;391.54
1123;6;302.0
1124;Niro Touring;207.0
1125;Huracan 2WD;595.0
1126;RC 300 AWD;422.0
1127;Challenger SRT Widebody;567.0
1128;Challenger;389.0
1129;Challenger Widebody;500.0
1130;300;389.0
1131;300 AWD;415.0
1132;Charger;389.0
1133;Charger AWD;415.0
1134;Transit T150 Wagon 4WD FFV;562.0
1135;Blazer FWD;362.0
1136;Niro Plug-in Hybrid;90.0
1137;Panamera 4 e-Hybrid ST;255.0
1138;CX-3 4WD;303.0
1139;XT5 FWD;363.0
1140;CX-30 2WD;319.0
1141;Cooper SE Countryman All4;175.0
1142;CT6 AWD;521.0
1143;Bentayga;645.0
1144;Challenger;494.0
1145;300;466.0
1146;Fit;246.0
1147;Fit;267.0
1148;Fit;286.0
1149;Ridgeline FWD;407.0
1150;1500 Classic 2WD;450.0
1151;Regal;467.74
1152;1500 Classic 4WD;475.0
1153;Continental Coach;478.0
1154;911 Carrera 4S Cabriolet;451.0
1155;CX-30 4WD;323.0
1156;Colt;355.48
1157;Seltos AWD;314.0
1158;Golf;280.0
1159;Cadenza;385.0
1160;X5 M Competition;582.0
1161;Atlas Cross Sport;461.0
1162;Corvette;467.0
1163;Daytona;403.95
1164;CT4;373.0
1165;CT4 V AWD;382.0
1166;CT5 V AWD;442.0
1167;Daytona;386.39
1168;Model Y Performance AWD;0.0
1169;Festiva;261.38
1170;Clarity Plug-in Hybrid;57.0
1171;F-Type S AWD Convertible;426.0
1172;Festiva;253.91
1173;Atlas;400.0
1174;Civic 5Dr;358.0
1175;Trailblazer FWD;288.0
1176;John Cooper Works Hardtop;305.0
1177;John Cooper Works Hardtop;329.0
1178;Colorado 2WD;424.0
1179;Canyon 2WD;424.0
1180;Colorado 4WD;431.0
1181;M2 CS Coupe;452.0
1182;Civic;329.15
1183;Bentayga;246.0
1184;Leaf (62 kW-hr battery pack);0.0
1185;GR Supra;351.0
1186;330e xDrive;192.0
1187;718 Spyder;473.0
1188;Civic;277.72
1189;Cayenne e-Hybrid Coupe;293.0
1190;Corolla Hybrid;170.0
1191;Civic;286.68
1192;Kona FWD;300.0
1193;Sportage FWD;349.0
1194;Kona AWD;324.0
1195;Crosstrek AWD;355.0
1196;Crosstrek AWD;297.0
1197;Palisade FWD;407.0
1198;Escalade 2WD;530.0
1199;Yukon 2WD;492.0
1200;Tahoe 4WD;558.0
1201;Suburban 4WD;515.0
1202;Prelude;423.19
1203;Cooper SE Hardtop 2 door;0.0
1204;Trax FWD;316.0
1205;Range Rover SVA;569.0
1206;Range Rover LWB SVA;587.0
1207;720S Spider;496.0
1208;Defender 90;466.0
1209;Defender 90 MHEV;462.0
1210;Spark;273.0
1211;Spark ACTIV;266.0
1212;Venue;287.0
1213;SQ5;441.0
1214;V60 FWD;322.0
1215;V90 AWD;356.0
1216;Range Rover;412.0
1217;540C Coupe;481.0
1218;Impreza 5-Door;284.0
1219;GLA250;314.0
1220;Impulse;423.19
1221;Boxster;394.0
1222;Corolla Hatchback XSE;266.0
1223;Colorado 4WD;455.0
1224;Continental GT Convertible;468.0
1225;190D 2.5;363.57
1226;RS 5 Sportback;428.0
1227;Stinger RWD;446.0
1228;Forte;296.0
1229;Forte;270.0
1230;Sonata Hybrid Blue;172.0
1231;Sonata;293.0
1232;A6 Allroad;398.0
1233;Range Rover MHEV;415.0
1234;RDX FWD A-SPEC;375.0
1235;X5 xDrive45e;178.0
1236;Colorado 2WD;435.0
1237;Prius Prime;78.0
1238;Dawn;632.0
1239;Dawn Black Badge;632.0
1240;Cordia;403.95
1241;G90 RWD;459.0
1242;G80 AWD;422.0
1243;G80 RWD;410.0
1244;Legacy AWD;295.0
1245;Odyssey;394.0
1246;NX 300 AWD;361.0
1247;X6 xDrive40i;389.0
1248;AMG GLE63 S 4matic Plus;540.0
1249;M240i xDrive Coupe;366.0
1250;M2 Competition Coupe;440.0
1251;Camaro;397.0
1252;Camaro;358.0
1253;Cooper S Clubman;304.0
1254;XT6 FWD;386.0
1255;X3 xDrive30i;351.0
1256;X3 M40i;379.0
1257;XT5 AWD;386.0
1258;Blazer AWD;362.0
1259;Wrangler 4dr 4WD;421.0
1260;Wrangler 4dr 4WD;404.0
1261;Wrangler 4dr 4WD;459.0
1262;Venza AWD;227.0
1263;Model Y Long Range AWD;0.0
1264;840i xDrive Coupe;387.0
1265;AMG CLA35 4matic;360.0
1266;Precis;317.39
1267;840i xDrive Gran Coupe;387.0
1268;Titan 4WD;515.0
1269;XT6 FWD;418.0
1270;RAV4;296.0
1271;XT5 AWD;424.0
1272;Blazer AWD;413.0
1273;RAV4 AWD;316.0
1274;RAV4 AWD LE;296.0
1275;4Runner 2WD;503.0
1276;Clarity Plug-in Hybrid;57.0
1277;Pacifica AWD;445.0
1278;Vantage V8;435.0
1279;DB11 V8;431.0
1280;S5;380.0
1281;230i Coupe;321.0
1282;SA310;246.86
1283;540i;322.0
1284;S8;545.0
1285;1500 2WD;390.0
1286;1500 2WD;467.0
1287;Gladiator Rubicon EcoDiesel 4WD;436.0
1288;1500 4WD;472.0
1289;Q3 S-line quattro;384.0
1290;Colt;355.48
1291;330i;298.0
1292;Firebird/Trans Am;444.35
1293;CX-3 4WD;303.0
1294;Elantra;244.0
1295;3 5-Door 4WD;326.0
1296;AMG GLA35 4matic;353.0
1297;2;264.0
1298;ES 300h;202.0
1299;E350 4matic;355.0
1300;Tacoma 4WD D-CAB MT TRD-ORP/PRO;483.0
1301;Tacoma 4WD;441.0
1302;Silverado 2WD;383.0
1303;Sierra 2WD;523.0
1304;Firebird/Trans Am;493.72
1305;Silverado 4WD;430.0
1306;Sierra 4WD;510.0
1307;Silverado Cab Chassis 4WD;592.0
1308;CX-9 2WD;363.0
1309;Highlander Hybrid;245.0
1310;CX-5 4WD;370.0
1311;1;93.0
1312;AMG A35 4matic;360.0
1313;CT4 V AWD;385.0
1314;E450 4matic All-Terrain (wagon);364.0
1315;CX-30 2WD;319.0
1316;CX-30 4WD;341.0
1317;E450 4matic;349.0
1318;Continental;987.44
1319;Sierra 2WD;422.0
1320;Silverado 4WD TrailBoss;522.0
1321;Silverado 4WD TrailBoss;533.0
1322;Sierra 4WD AT4;543.0
1323;Sierra Cab Chassis 2WD;590.0
1324;Sierra Cab Chassis 2WD;523.0
1325;Range Rover MHEV;449.0
1326;Levante;495.0
1327;900 Convertible;467.74
1328;Levante Trofeo;562.0
1329;718 Boxster S;410.0
1330;718 Boxster T;394.0
1331;718 Boxster T;380.0
1332;A5 quattro;331.0
1333;RC 350 AWD;407.0
1334;TLX AWD A-SPEC;371.0
1335;GTI;324.0
1336;Golf;267.0
1337;CT5 V;423.0
1338;Transit Connect Wagon LWB FWD;404.0
1339;XT;355.48
1340;XT 4WD;386.39
1341;Explorer FFV AWD;471.0
1342;Aviator AWD;445.0
1343;XC40 AWD BEV;0.0
1344;Eldorado;522.76
1345;HR-V FWD;292.0
1346;TT Roadster quattro;344.0
1347;Q60;404.0
1348;AMG E53 4matic Plus Coupe;378.0
1349;Celica;403.95
1350;3 4-Door 4WD;334.0
1351;AMG E53 4matic Plus;361.0
1352;Terrain AWD;342.0
1353;Macan GTS;459.0
1354;Cayenne Coupe;437.0
1355;Cayenne GTS;533.0
1356;Cayenne S Coupe;460.0
1357;Cayenne GTS Coupe;525.0
1358;Altima AWD SR/Platinum;309.0
1359;Pacifica;401.0
1360;Pacifica AWD;450.0
1361;Q5;166.0
1362;Evora GT;441.0
1363;Challenger Widebody;523.0
1364;Challenger AWD;415.0
1365;Challenger SRT Widebody;567.0
1366;Elantra;288.0
1367;Corolla FX;370.29
1368;1500 Classic 2WD;513.0
1369;F150 Pickup 4WD;445.0
1370;F150 Pickup 4WD;432.0
1371;F150 Pickup 4WD HEV;368.0
1372;1500 Classic 4WD;526.0
1373;CR-V AWD;305.0
1374;LS 500 AWD;432.0
1375;Suburban 2WD;437.0
1376;Pacifica Hybrid;119.0
1377;911 Carrera S Cabriolet;439.0
1378;911 Carrera 4;442.0
1379;911 Carrera 4S Cabriolet;439.0
1380;AMG C63;433.0
1381;AMG C43 4matic;428.0
1382;AMG E63 S 4matic Plus;484.0
1383;AMG GLC63 4matic Plus Coupe;512.0
1384;AMG G63;637.0
1385;ID.4 Pro S;0.0
1386;AMG GT 63 4matic Plus;502.0
1387;Trax AWD;338.0
1388;Expedition MAX 2WD;456.0
1389;Expedition 4WD;476.0
1390;Seville;509.0
1391;Legend;493.72
1392;Mustang Mach-E RWD;0.0
1393;Ranger 2WD;387.0
1394;F150 Pickup 4WD;446.0
1395;Macan;426.0
1396;MX-5;305.0
1397;825;467.74
1398;Niro Touring;208.0
1399;Murano FWD;387.0
1400;XT5 Limo FWD;425.0
1401;827;493.72
1402;Civic 5Dr;358.0
1403;Leaf (62 kW-hr battery pack);0.0
1404;Mustang HO Convertible;415.0
1405;Mustang Convertible;386.0
1406;Shelby GT500 Mustang;631.0
1407;Mustang Mach-E RWD California Route 1;0.0
1408;Frontier 4WD;469.0
1409;Transit T150 Wagon 4WD FFV;565.0
1410;Discovery MHEV;435.0
1411;Eclipse Cross ES 2WD;327.0
1412;Edge AWD;380.0
1413;Edge AWD;383.0
1414;Ioniq Plug-in Hybrid;74.0
1415;Panamera Turbo S ST;525.0
1416;Rogue Sport;318.0
1417;530e;178.0
1418;X3 xDrive30e;204.0
1419;Skylark;355.48
1420;Tucson AWD;349.0
1421;Sportage AWD;389.0
1422;Outlander 4WD;342.0
1423;Grand Cherokee L 2WD;416.0
1424;Rogue AWD SL/Platinum;284.0
1425;Cayenne Turbo S e-Hybrid;320.0
1426;Cooper Convertible;273.0
1427;M8 Competition Convertible;522.0
1428;X2 M35i;339.0
1429;M8 Competition Gran Coupe;522.0
1430;430i Convertible;326.0
1431;Silverado 2WD;541.0
1432;i3;0.0
1433;Model 3 Standard Range Plus RWD;0.0
1434;John Cooper Works Hardtop 2 door;308.0
1435;Cooper S Clubman All4;333.0
1436;G90 RWD;459.0
1437;Encore GX FWD;297.0
1438;Trailblazer FWD;289.0
1439;Seltos FWD;283.0
1440;Trailblazer AWD;313.0
1441;GV70 AWD;408.0
1442;GV70 AWD;368.0
1443;Outback Wilderness AWD;377.0
1444;Silverado 2WD;513.0
1445;Cavalier;444.35
1446;M760i xDrive Sedan;570.0
1447;K5 AWD;316.0
1448;Celebrity;444.35
1449;K5;332.0
1450;Corsica;355.48
1451;Panamera 4 e-Hybrid;232.0
1452;Spark;266.0
1453;Spark;273.0
1454;G70 AWD;385.0
1455;Soul;309.0
1456;Transit Connect Van FWD;355.0
1457;Transit Connect Wagon LWB FFV;347.0
1458;Insight;170.0
1459;Nova;341.81
1460;Cooper SE Hardtop 2 door;0.0
1461;Sonata Hybrid Blue;172.0
1462;Envision FWD;341.0
1463;Telluride FWD;395.0
1464;Sonata;293.0
1465;Niro;183.0
1466;Santa Cruz FWD;385.0
1467;Bronco Badlands 4WD;513.0
1468;CT4 V;478.0
1469;XT6 FWD;419.0
1470;XT5 FWD;370.0
1471;XT6 AWD;386.0
1472;Blazer AWD;417.0
1473;Acadia AWD;368.0
1474;Santa Fe Plug-in Hybrid;111.0
1475;Sierra 4WD;539.0
1476;Tahoe 2WD;523.0
1477;Yukon 2WD;523.0
1478;Yukon 4WD;570.0
1479;Maxima;467.74
1480;F-Type R AWD Convertible;481.0
1481;Impreza Sport 5-Door;351.0
1482;Impreza Sport 5-Door;292.0
1483;Grand Wagoneer 4WD;602.0
1484;Model S Plaid (21inch wheels);0.0
1485;Corolla XLE;274.0
1486;Corolla Hybrid;170.0
1487;Sentra;317.39
1488;R8 Coupe;572.0
1489;R8 Spyder RWD;518.0
1490;Stanza;403.95
1491;A5 Cabriolet quattro;345.0
1492;RS 5 Coupe;430.0
1493;Omni;370.29
1494;A5 Sportback quattro;307.0
1495;A7 quattro;361.0
1496;Passat;315.0
1497;Q5 S line quattro;354.0
1498;SQ5 Sportback;422.0
1499;SQ8;522.0
1500;RS Q8;579.0
1501;A7 TFSI e quattro;126.0
1502;Q5 TFSI e quattro;148.0
1503;Shadow;423.19
1504;Explorer Timberline AWD;431.0
1505;Z4 M40i;358.0
1506;GR Supra;351.0
1507;M440i Coupe;312.0
1508;M440i Convertible;340.0
1509;M4 Competition M xDrive Convertible;484.0
1510;228i xDrive Gran Coupe;329.0
1511;S7;408.0
1512;A6 Allroad quattro;377.0
1513;Atlas Cross Sport;391.0
1514;Atlas Cross Sport;435.0
1515;XC40 T4;340.0
1516;Escort;277.72
1517;Atlas Cross Sport 4motion;406.0
1518;Q7 quattro;406.0
1519;Escort;355.48
1520;Camaro;385.0
1521;Sorento AWD;366.0
1522;Sorento AWD;377.0
1523;Range Rover Evoque;398.0
1524;Laser;370.29
1525;CT4 V;385.0
1526;M550i xDrive Sedan;439.0
1527;M5 Competition Sedan;523.0
1528;Phantom Extended;615.0
1529;HR-V AWD;311.0
1530;E-Pace;398.0
1531;S60 T8 AWD Recharge;155.0
1532;XC60 T8 AWD Recharge;206.0
1533;MC20;474.0
1534;BRZ;362.0
1535;TTS Coupe quattro;337.0
1536;430i Coupe;312.0
1537;Mirage;227.0
1538;Mirage G4;235.0
1539;Ghibli Modena RWD;436.0
1540;Celebrity;391.54
1541;X3 sDrive30i;352.0
1542;Thunderbird;467.74
1543;Outlander Sport 2WD;354.0
1544;X4 M40i;379.0
1545;X4 M Competition;519.0
1546;Accord;370.29
1547;X5 M;586.0
1548;X6 M Competition;586.0
1549;Wagoneer 4WD;520.0
1550;Levante Modena V8;562.0
1551;Camry;338.0
1552;Camry TRD;354.0
1553;Camry XLE/XSE;286.0
1554;Camry Hybrid LE;170.0
1555;F150 RAPTOR 4WD;593.0
1556;F150 Pickup 4WD;445.0
1557;911 Turbo;516.0
1558;911 Turbo Cabriolet;521.0
1559;911 Turbo S;517.0
1560;Colorado 2WD;435.0
1561;Cougar;493.72
1562;Canyon 4WD;465.0
1563;1500 2WD;443.0
1564;1500 HFE 2WD;394.0
1565;1500 4WD;417.0
1566;1500 TRX 4WD;748.0
1567;Topaz AWD;467.74
1568;911 Carrera 4S Cabriolet;452.0
1569;911 Carrera 4 Cabriolet;443.0
1570;911 Targa 4S;447.0
1571;911 Targa 4;442.0
1572;Tracer;370.29
1573;RX 450h AWD;297.0
1574;Cayenne Turbo S/Coupe E-Hybrid;320.0
1575;XC40 Recharge twin;0.0
1576;ES 350 F Sport;352.0
1577;ES 300h;201.0
1578;R1T;0.0
1579;UX 250h;209.0
1580;Tacoma 4WD;441.0
1581;Air Dream P AWD w/21 inch wheels;0.0
1582;Chiron Pur Sport;979.0
1583;718 Boxster;375.0
1584;718 Cayman;375.0
1585;718 Boxster S;410.0
1586;718 Boxster GTS;418.0
1587;718 Cayman S;423.0
1588;718 Cayman T;394.0
1589;Q60;404.0
1590;Q60 Red Sport;405.0
1591;RC F;459.0
1592;IS 300 AWD;407.0
1593;GTI;312.0
1594;Civic 5Dr;269.0
1595;Civic 5Dr;304.0
1596;Bentayga Speed;616.0
1597;Forte FE;256.0
1598;Forte;271.0
1599;Panamera Turbo S/Exec/ST;525.0
1600;Panamera GTS;520.0
1601;Compass FWD;350.0
1602;Compass 4WD;358.0
1603;Galant Sigma;493.72
1604;Crosstrek AWD;355.0
1605;Corolla Cross 4WD;293.0
1606;Suburban 2WD;442.0
1607;Yukon XL 2WD;442.0
1608;Citation II;444.35
1609;Galant Sigma;493.72
1610;Escalade 4WD;462.0
1611;Panamera 4S E-Hybrid/Exec/ST;236.0
1612;Cutlass Calais;341.81
1613;CLS450 4matic;357.0
1614;E450 4matic;348.0
1615;E450 4matic All-Terrain (wagon);368.0
1616;Sierra 2WD;555.0
1617;Silverado Mud Terrain Tires 4WD;522.0
1618;Silverado 4WD;555.0
1619;Sierra Mud Terrain Tires 4WD;577.0
1620;Sierra 4WD;545.0
1621;Cutlass Calais;370.29
1622;Sierra 4WD;555.0
1623;GLA250;321.0
1624;Silverado Cab Chassis 4WD;589.0
1625;Voyager;401.0
1626;Highlander Hybrid;245.0
1627;NX 250 AWD;318.0
1628;GLA250 4matic;337.0
1629;Escalade 2WD;548.0
1630;Tahoe 2WD;534.0
1631;Tahoe 2WD;542.0
1632;Yukon 2WD;534.0
1633;Suburban 4WD;569.0
1634;Tahoe 4WD;568.0
1635;Yukon 4WD;556.0
1636;Grand Cherokee 4WD;533.0
1637;720S Coupe LM;505.0
1638;E450 4matic Coupe;362.0
1639;XF P250;317.0
1640;Golf-R;343.0
1641;Nautilus AWD;404.0
1642;Sierra 2WD;441.0
1643;Silverado 4WD;522.0
1644;Silverado 4WD;555.0
1645;Silverado 4WD;489.0
1646;Sierra 4WD;555.0
1647;Sierra Mud Terrain Tires 4WD;566.0
1648;505 Sedan;493.72
1649;Sierra 4WD;492.0
1650;NX 350 AWD;358.0
1651;Tahoe 4WD;556.0
1652;E350;342.0
1653;S8;520.0
1654;S500 4matic;372.0
1655;RDX FWD A-SPEC;375.0
1656;Horizon;355.48
1657;Macan S;466.0
1658;e-tron S Sportback (20 inch wheels);0.0
1659;Taycan Turbo S;0.0
1660;Mustang Mach-E GT Performance;0.0
1661;Altima SV/SL;287.0
1662;Escape FWD;293.0
1663;Escape AWD;318.0
1664;Sundance;403.95
1665;Corsair AWD;371.0
1666;Explorer RWD;428.0
1667;Explorer FFV AWD;470.0
1668;XE P250;312.0
1669;GLB250;330.0
1670;F150 Pickup 2WD;404.0
1671;Grand Am;341.81
1672;F150 RAPTOR 4WD;593.0
1673;F150 Pickup 4WD FFV;494.0
1674;Versa;296.0
1675;Sentra SR;283.0
1676;Lemans;341.81
1677;Wrangler Rubic 4dr EcoDiesel 4WD;442.0
1678;Wrangler 2dr 4WD;446.0
1679;Durango AWD;533.0
1680;Lemans;296.23
1681;EV6 AWD (Long Range);0.0
1682;NX 450h Plus AWD;87.0
1683;F150 Pickup 4WD HEV;386.0
1684;Stelvio AWD;364.0
1685;Sunbird;403.95
1686;CX-9 4WD;392.0
1687;Escalade 2WD;547.0
1688;Tahoe 2WD;547.0
1689;Yukon 2WD;547.0
1690;Sunbird;329.15
1691;Explorer Platinum HEV AWD;379.0
1692;SF90 Stradale;403.0
1693;Ranger 2WD;387.0
1694;Ranger 4WD;411.0
1695;RAV4 Hybrid AWD;223.0
1696;900;423.19
1697;Model 3 Long Range AWD;0.0
1698;Model S Plaid (19 inch wheels);0.0
1699;EQS 580 4matic;0.0
1700;MX-5;299.0
1701;3 4-Door 2WD;300.0
1702;900;423.19
1703;3 5-Door 2WD;306.0
1704;Durango RWD;414.0
1705;Grand Cherokee WK 2WD;414.0
1706;900;423.19
1707;Mustang;373.0
1708;Sedan/3 Door;444.35
1709;Sedan/3 Door;386.39
1710;Challenger;389.0
1711;Challenger;466.0
1712;Challenger;523.0
1713;Challenger SRT Widebody;567.0
1714;Challenger AWD;415.0
1715;Cherokee Trailhawk 4WD;432.0
1716;EcoSport AWD;351.0
1717;Sportage AWD;357.0
1718;Titan 2WD;503.0
1719;330e Sedan;160.0
1720;530e xDrive Sedan;203.0
1721;911 Carrera 4 GTS Cabriolet;463.0
1722;911 Targa 4 GTS;461.0
1723;Arteon 4motion;353.0
1724;Mustang Mach-E CAL RT 1 ER RWD;0.0
1725;745e xDrive;245.0
1726;Camry;467.74
1727;Expedition 4WD;494.0
1728;Expedition Timberline AWD;523.0
1729;Expedition Timberline AWD;523.0
1730;Discovery Sport;437.0
1731;Cressida;493.72
1732;Silverado 2WD;484.0
1733;Sierra 4WD;555.0
1734;Silverado Cab Chassis 4WD;611.0
1735;Sierra Cab Chassis 4WD;611.0
1736;Golf;355.48
1737;F-Type P450 RWD Coupe;460.0
1738;F-Type P450 AWD R-Dynamic Convertible;481.0
1739;Range Rover Evoque MHEV;393.0
1740;Jetta;386.39
1741;GV70 AWD;368.0
1742;Tundra 4WD;441.0
1743;New Range Rover P400 MHEV;427.0
1744;GLE450 4matic;394.0
1745;Cooper Convertible;273.0
1746;M850i xDrive Gran Coupe;457.0
1747;M8 Competition Gran Coupe;517.0
1748;Stinger AWD;380.0
1749;Stinger RWD;437.0
1750;Cooper Countryman;311.0
1751;Cooper Countryman All4;336.0
1752;New Range Rover LWB;505.0
1753;840i xDrive Convertible;373.0
1754;840i xDrive Gran Coupe;373.0
1755;Cooper S Clubman;349.0
1756;Elantra;245.0
1757;Elantra Hybrid Blue;165.0
1758;Monte Carlo;493.72
1759;Soul;301.0
1760;Trailblazer AWD;320.0
1761;Santa Fe Hybrid Blue;264.0
1762;iX M60 (21 inch wheels);0.0
1763;5000 S quattro;493.72
1764;Huracan Spyder 2WD;593.0
1765;Integra A-Spec;277.0
1766;Camaro;571.0
1767;Camaro;477.0
1768;Forte FE;261.0
1769;K5 AWD;316.0
1770;XT5 Limo FWD;425.0
1771;XT5 Hearse AWD;425.0
1772;Blazer AWD;417.0
1773;Traverse FWD;417.0
1774;Acadia AWD;417.0
1775;Century;444.35
1776;Levante Modena;495.0
1777;AMG SL63 4matic Plus;546.0
1778;A3 quattro;294.0
1779;Legacy AWD;295.0
1780;Legacy AWD;337.0
1781;Outback AWD;314.0
1782;Riviera;444.35
1783;Acadia FWD;365.0
1784;Sonata;293.0
1785;Taos 4motion;321.0
1786;DBS;522.0
1787;DB11 V12;522.0
1788;XF P250;317.0
1789;XF P300 AWD;352.0
1790;Impreza Sport 4-Door;291.0
1791;Stelvio;359.0
1792;F-Pace;365.0
1793;F-Pace P340 MHEV;402.0
1794;Range Rover Velar P340 MHEV;399.0
1795;TT Roadster;347.0
1796;812 Competizione;652.0
1797;M440i Convertible;340.0
1798;M440i xDrive Convertible;348.0
1799;M4 Competition M xDrive Convertible;484.0
1800;M440i Gran Coupe;325.0
1801;LeBaron GTS;444.35
1802;CT4 AWD;348.0
1803;CT4;356.0
