;Model;co2
733;C300 4matic Coupe;356.0
734;Challenger;466.0
735;Challenger;498.0
736;Challenger;523.0
737;Challenger SRT;546.0
738;Camry XSE;345.0
739;V15 Jimmy 4WD;683.62
740;300 AWD;415.0
741;RX 350 AWD;405.0
742;4Runner 4WD;491.0
743;V15 Jimmy 4WD;683.62
744;AMG GLA45 4matic;361.0
745;Frontier 2WD;479.0
746;Colorado ZR2 4WD;532.0
747;Colorado Cab Chassis 2WD;572.0
748;Canyon Cab Chassis 2WD;572.0
749;Stelvio AWD;364.0
750;Stelvio AWD;470.0
751;E-Pace P250;395.0
752;Range Rover Evoque 237HP;362.0
753;Range Rover;491.0
754;Range Rover LWB SVA;587.0
755;SL450;387.0
756;Yaris;264.0
757;Fusion FWD;361.0
758;Fusion Hybrid FWD;212.0
759;Fusion FWD;355.0
760;Q50 AWD;407.0
761;MKZ FWD;425.0
762;MKZ Hybrid FWD;217.0
763;Camry Hybrid XLE/SE;195.0
764;Tacoma 4WD;448.0
765;1500 2WD;407.0
766;Cherokee/Wagoneer 4WD;444.35
767;Highlander;391.0
768;Encore AWD;344.0
769;CX-9 4WD;391.0
770;Armada 2WD;556.0
771;Bentayga;508.0
772;RX 450h L AWD;305.0
773;Armada 4WD;585.0
774;CT6 AWD;429.0
775;Taurus AWD;468.0
776;Taurus AWD FFV;468.0
777;Nautilus FWD;384.0
778;Explorer FWD;409.0
779;Explorer 2WD FFV;454.0
780;Fusion Energi Plug-in Hybrid;99.0
781;Wrangler 4WD;522.76
782;Leaf (40 kW-hr battery pack);0.0
783;AMG S63 4matic Coupe;437.0
784;S560 4matic;426.0
785;Edge FWD;360.0
786;Edge AWD;418.0
787;Pacifica Hybrid;119.0
788;Civic 2Dr;269.0
789;NV200 NYC Taxi;366.0
790;Montero;555.44
791;Pathfinder 4WD;404.0
792;Niro Plug-in Hybrid;90.0
793;DBS;522.0
794;Accord 2.0T Sport/Touring;345.0
795;LS 500h AWD;343.0
796;Altima SR/Platinum;288.0
797;Accord;344.0
798;Elantra GT;322.0
799;Elantra GT;352.0
800;Continental  AWD;463.0
801;Metris (Cargo Van;0.0
802;Tucson AWD;388.0
803;Tiguan 4motion;367.0
804;Grand Cherokee Trackhawk 4WD;664.0
805;Volt;51.0
806;RC 300;360.0
807;Sedan/3 Door 4WD;423.19
808;GranTurismo Convertible;569.0
809;Sierra C10 XFE 2WD;456.0
810;Silverado K10 4WD;442.0
811;Silverado K10 4WD;464.0
812;Sierra K10 4WD;531.0
813;Wagon 4WD;423.19
814;Expedition MAX 2WD;467.0
815;X5 xDrive40i;394.0
816;S5;371.0
817;Q60;353.0
818;Samurai Hardtop;355.48
819;Q60 AWD;409.0
820;A7 quattro;360.0
821;A6 quattro;360.0
822;F150 2WD BASE PAYLOAD LT TIRE;423.0
823;F150 Pickup 2WD;426.0
824;F150 2WD FFV BASE PAYLOAD LT;493.0
825;4Runner 4WD;493.72
826;F150 3.5L 4WD GVWR>7599 LBS;494.0
827;F150 4WD BASE PAYLOAD LT TIRE;494.0
828;F150 Pickup 4WD FFV;498.0
829;F150 5.0L 4WD FFV GVWR>7599 LBS;555.0
830;F150 Pickup 4WD Limited;467.0
831;CX-5 4WD;335.0
832;Elantra;305.0
833;Sonata Hybrid;217.0
834;S10 Cab Chassis 2WD;522.76
835;i3s;0.0
836;570S Coupe;481.0
837;AMG GT C Coupe;506.0
838;X2 M35i;348.0
839;UX 200;271.0
840;Truck Cab Chassis 2WD;683.62
841;Civic 5Dr;259.0
842;AMG S65;574.0
843;Rogue Sport;318.0
844;AMG E63 S 4matic (wagon);480.0
845;F150 2WD BASE PAYLOAD LT TIRE;424.0
846;Silverado K10 4WD;530.0
847;F150 Pickup 4WD;463.0
848;Transit Connect USPS;397.0
849;Silverado C10 Cab Chassis 2WD;523.0
850;AMG GLC43 4matic;415.0
851;AMG GLC43 4matic Coupe;420.0
852;S15 Cab Chassis 2WD;683.62
853;Maxima;378.0
854;500e;0.0
855;TT Roadster quattro;340.0
856;A3;303.0
857;330i;299.0
858;330i xDrive;313.0
859;Tacoma 4WD TRD PRO;483.0
860;Ranger 2WD Incomplete;484.0
861;Aurora;592.47
862;Renegade 4WD;371.0
863;Range Rover SV Coupe;569.0
864;Prius Prime;78.0
865;EQ fortwo (convertible);0.0
866;Model 3 Long Range AWD;0.0
867;Model S 75D;0.0
868;Model S P100D;0.0
869;Model X 75D;0.0
870;Model X P100D;0.0
871;Reatta;444.35
872;Corolla;277.0
873;Soul Eco dynamics;287.0
874;A220 4matic;324.0
875;GLE350 4matic;404.0
876;F-Type Coupe;346.0
877;E-Pace P300;379.0
878;Range Rover Velar P300;399.0
879;RUF TURBO 12/CTR3;497.0
880;Evora;451.0
881;300ZX;493.72
882;F150 Pickup 2WD;732.0
883;6;328.0
884;6;335.0
885;Panamera Turbo ST;449.0
886;1500 HFE 2WD;395.0
887;F-Type Coupe;390.0
888;F-Type S AWD Coupe;426.0
889;F-Pace;488.0
890;Palisade AWD;426.0
891;240 DL/GL/turbo;522.76
892;Renegade 2WD;328.0
893;230i Coupe;356.0
894;230i Convertible;327.0
895;M240i Coupe;353.0
896;M240i Convertible;353.0
897;440i xDrive Convertible;394.0
898;430i xDrive Coupe;361.0
899;430i xDrive Gran Coupe;361.0
900;440i Coupe;353.0
901;M4 Coupe;471.0
902;M4 Coupe Competition;471.0
903;740i;361.0
904;Range Rover Velar;511.0
905;G70 AWD;385.0
906;Civic CRX HF;201.98
907;Panamera;401.0
908;Macan S;438.0
909;e-tron;0.0
910;DB11 V8;431.0
911;G70 RWD;447.0
912;Accent;248.0
913;Sedona;436.0
914;Countach;1269.57
915;Kona AWD;324.0
916;I-Pace;0.0
917;Q3 quattro;399.0
918;Model 3 Standard Range Plus;0.0
919;G80 RWD;423.0
920;Q;467.74
921;RX-7;522.76
922;Tucson AWD;385.0
923;Spark;269.0
924;RX-7;522.76
925;Spark ACTIV;278.0
926;Spark ACTIV;269.0
927;Forte;296.0
